dept_name,relative_url,full_url,likelihood_force_by_pop,likelihood_force_by_arrests,no_data_found,LA_numbers,NYC_numbers,Chicago_numbers
"Tenafly, Bergen",/database/pd-dept/tenafly-bergen,http://force.nj.com/database/pd-dept/tenafly-bergen,,198%,,0,8,8
"Tinton Falls, Monmouth",/database/pd-dept/tinton-falls-monmouth,http://force.nj.com/database/pd-dept/tinton-falls-monmouth,443%,16%,,0,33,33
"Toms River, Ocean",/database/pd-dept/toms-river-ocean,http://force.nj.com/database/pd-dept/toms-river-ocean,482%,,,25,118,121
"Totowa, Passaic",/database/pd-dept/totowa-passaic,http://force.nj.com/database/pd-dept/totowa-passaic,,,,0,1,1
"Clinton, Hunterdon",/database/pd-dept/clinton-hunterdon,http://force.nj.com/database/pd-dept/clinton-hunterdon,,,,0,0,0
"Trenton, Mercer",/database/pd-dept/trenton-mercer,http://force.nj.com/database/pd-dept/trenton-mercer,42%,42%,,29,138,167
"Tuckerton, Ocean",/database/pd-dept/tuckerton-ocean,http://force.nj.com/database/pd-dept/tuckerton-ocean,229%,39%,,0,5,5
"Union Beach, Monmouth",/database/pd-dept/union-beach-monmouth,http://force.nj.com/database/pd-dept/union-beach-monmouth,15%,27%,,0,4,10
"Union City, Hudson",/database/pd-dept/union-city-hudson,http://force.nj.com/database/pd-dept/union-city-hudson,90%,38%,,6,64,66
"Union Township, Union",/database/pd-dept/union-township-union,http://force.nj.com/database/pd-dept/union-township-union,231%,37%,,10,65,73
"Upper Saddle River, Bergen",/database/pd-dept/upper-saddle-river-bergen,http://force.nj.com/database/pd-dept/upper-saddle-river-bergen,,30%,,0,4,4
"Ventnor City, Atlantic",/database/pd-dept/ventnor-city-atlantic,http://force.nj.com/database/pd-dept/ventnor-city-atlantic,96%,46%,,0,17,19
"Vernon, Sussex",/database/pd-dept/vernon-sussex,http://force.nj.com/database/pd-dept/vernon-sussex,,,,1,11,14
"Verona, Essex",/database/pd-dept/verona-essex,http://force.nj.com/database/pd-dept/verona-essex,,74%,,0,6,7
"Vineland, Cumberland",/database/pd-dept/vineland-cumberland,http://force.nj.com/database/pd-dept/vineland-cumberland,98%,3%,,56,102,103
"Voorhees, Camden",/database/pd-dept/voorhees-camden,http://force.nj.com/database/pd-dept/voorhees-camden,400%,56%,,7,40,40
"Waldwick, Bergen",/database/pd-dept/waldwick-bergen,http://force.nj.com/database/pd-dept/waldwick-bergen,,21%,,0,7,8
"Wall, Monmouth",/database/pd-dept/wall-monmouth,http://force.nj.com/database/pd-dept/wall-monmouth,540%,,,0,42,43
"Wallington, Bergen",/database/pd-dept/wallington-bergen,http://force.nj.com/database/pd-dept/wallington-bergen,,,,0,1,1
"Wanaque, Passaic",/database/pd-dept/wanaque-passaic,http://force.nj.com/database/pd-dept/wanaque-passaic,,273%,,0,7,7
"Warren Township, Somerset",/database/pd-dept/warren-township-somerset,http://force.nj.com/database/pd-dept/warren-township-somerset,441%,28%,,0,8,9
"Washington Township & Washington Borough, Warren",/database/pd-dept/washington-township-warren,http://force.nj.com/database/pd-dept/washington-township-warren,61%,49%,,1,15,16
"Washington, Bergen",/database/pd-dept/washington-bergen,http://force.nj.com/database/pd-dept/washington-bergen,,,,0,5,5
"Washington, Gloucester",/database/pd-dept/washington-gloucester,http://force.nj.com/database/pd-dept/washington-gloucester,255%,14%,,6,36,36
"Washington & Califon Borough, Morris",/database/pd-dept/washington-morris,http://force.nj.com/database/pd-dept/washington-morris,,124%,,0,8,8
"Watchung, Somerset",/database/pd-dept/watchung-somerset,http://force.nj.com/database/pd-dept/watchung-somerset,3990%,2%,,0,8,11
"Waterford, Camden",/database/pd-dept/waterford-camden,http://force.nj.com/database/pd-dept/waterford-camden,1180%,86%,,2,8,13
"Wayne, Passaic",/database/pd-dept/wayne-passaic,http://force.nj.com/database/pd-dept/wayne-passaic,402%,23%,,0,19,21
"Weehawken, Hudson",/database/pd-dept/weehawken-hudson,http://force.nj.com/database/pd-dept/weehawken-hudson,,,,0,15,15
"Wenonah, Gloucester",/database/pd-dept/wenonah-gloucester,http://force.nj.com/database/pd-dept/wenonah-gloucester,,47%,,0,2,2
"West Amwell, Hunterdon",/database/pd-dept/west-amwell-hunterdon,http://force.nj.com/database/pd-dept/west-amwell-hunterdon,,,,0,1,2
"West Caldwell, Essex",/database/pd-dept/west-caldwell-essex,http://force.nj.com/database/pd-dept/west-caldwell-essex,,,,0,4,4
"West Deptford, Gloucester",/database/pd-dept/west-deptford-gloucester,http://force.nj.com/database/pd-dept/west-deptford-gloucester,213%,5%,,3,21,21
"West Long Branch, Monmouth",/database/pd-dept/west-long-branch-monmouth,http://force.nj.com/database/pd-dept/west-long-branch-monmouth,494%,20%,,0,5,6
"West Milford, Passaic",/database/pd-dept/west-milford-passaic,http://force.nj.com/database/pd-dept/west-milford-passaic,836%,59%,,0,6,8
"West New York, Hudson",/database/pd-dept/west-new-york-hudson,http://force.nj.com/database/pd-dept/west-new-york-hudson,62%,92%,,16,69,69
"West Orange, Essex",/database/pd-dept/west-orange-essex,http://force.nj.com/database/pd-dept/west-orange-essex,173%,29%,,1,29,34
"West Wildwood, Cape May",/database/pd-dept/west-wildwood-cape-may,http://force.nj.com/database/pd-dept/west-wildwood-cape-may,,,,0,2,2
"West Windsor, Mercer",/database/pd-dept/west-windsor-mercer,http://force.nj.com/database/pd-dept/west-windsor-mercer,1083%,1%,,0,16,16
"Westfield, Union",/database/pd-dept/westfield-union,http://force.nj.com/database/pd-dept/westfield-union,403%,64%,,0,13,13
"Westampton, Burlington",/database/pd-dept/westampton-burlington,http://force.nj.com/database/pd-dept/westampton-burlington,491%,28%,,1,12,13
"Westville & National Park, Gloucester",/database/pd-dept/westville-gloucester,http://force.nj.com/database/pd-dept/westville-gloucester,657%,28%,,1,8,12
"Westwood, Bergen",/database/pd-dept/westwood-bergen,http://force.nj.com/database/pd-dept/westwood-bergen,171%,7%,,0,11,12
"Wharton & Mine Hill, Morris",/database/pd-dept/wharton-morris,http://force.nj.com/database/pd-dept/wharton-morris,512%,41%,,0,10,12
"Wildwood Crest, Cape May",/database/pd-dept/wildwood-crest-cape-may,http://force.nj.com/database/pd-dept/wildwood-crest-cape-may,,96%,,0,13,15
"Wildwood, Cape May",/database/pd-dept/wildwood-cape-may,http://force.nj.com/database/pd-dept/wildwood-cape-may,233%,96%,,11,65,69
"Willingboro, Burlington",/database/pd-dept/willingboro-burlington,http://force.nj.com/database/pd-dept/willingboro-burlington,2%,18%,,3,33,35
"Winfield, Union",/database/pd-dept/winfield-union,http://force.nj.com/database/pd-dept/winfield-union,,,,0,1,1
"Winslow, Camden",/database/pd-dept/winslow-camden,http://force.nj.com/database/pd-dept/winslow-camden,142%,67%,,4,46,48
"Wood-Ridge, Bergen",/database/pd-dept/wood-ridge-bergen,http://force.nj.com/database/pd-dept/wood-ridge-bergen,,32%,,0,1,1
"Woodbridge, Middlesex",/database/pd-dept/woodbridge-middlesex,http://force.nj.com/database/pd-dept/woodbridge-middlesex,70%,2%,,5,93,97
"Woodbury Heights, Gloucester",/database/pd-dept/woodbury-heights-gloucester,http://force.nj.com/database/pd-dept/woodbury-heights-gloucester,648%,81%,,1,4,4
"Woodbury, Gloucester",/database/pd-dept/woodbury-gloucester,http://force.nj.com/database/pd-dept/woodbury-gloucester,299%,39%,,0,20,22
"Woodcliff Lake, Bergen",/database/pd-dept/woodcliff-lake-bergen,http://force.nj.com/database/pd-dept/woodcliff-lake-bergen,,,,0,2,2
"Woodland Park, Passaic",/database/pd-dept/woodland-park-passaic,http://force.nj.com/database/pd-dept/woodland-park-passaic,707%,40%,,1,11,12
"Woodlynne, Camden",/database/pd-dept/woodlynne-camden,http://force.nj.com/database/pd-dept/woodlynne-camden,95%,112%,,1,7,7
"Woodstown, Salem",/database/pd-dept/woodstown-salem,http://force.nj.com/database/pd-dept/woodstown-salem,322%,13%,,0,4,4
"Woolwich & Swedesboro, Gloucester",/database/pd-dept/woolwich-gloucester,http://force.nj.com/database/pd-dept/woolwich-gloucester,,,,0,4,4
"Wyckoff, Bergen",/database/pd-dept/wyckoff-bergen,http://force.nj.com/database/pd-dept/wyckoff-bergen,2788%,7%,,0,13,13
"Hi-Nella, Camden",/database/pd-dept/hi-nella-camden,http://force.nj.com/database/pd-dept/hi-nella-camden,,,No data found,,,
"Lawnside, Camden",/database/pd-dept/lawnside-camden,http://force.nj.com/database/pd-dept/lawnside-camden,,,No data found,,,
"Pine Valley, Camden",/database/pd-dept/pine%20valley-camden,http://force.nj.com/database/pd-dept/pine%20valley-camden,,,No data found,,,
"Franklin, Hunterdon",/database/pd-dept/franklin-hunterdon,http://force.nj.com/database/pd-dept/franklin-hunterdon,,,No data found,,,
"Tewksbury, Hunterdon",/database/pd-dept/tewksbury-hunterdon,http://force.nj.com/database/pd-dept/tewksbury-hunterdon,,,No data found,,,
"Elmer, Salem",/database/pd-dept/elmer-salem,http://force.nj.com/database/pd-dept/elmer-salem,,,No data found,,,
"Holland, Hunterdon",/database/pd-dept/holland-hunterdon,http://force.nj.com/database/pd-dept/holland-hunterdon,,,No data found,,,
"New Hanover, Burlington",/database/pd-dept/new-hanover-burlington,http://force.nj.com/database/pd-dept/new-hanover-burlington,,,No data found,,,
"Buena Vista, Atlantic",/database/pd-dept/buena-vista-atlantic,http://force.nj.com/database/pd-dept/buena-vista-atlantic,,,No data found,,,
"Corbin City, Atlantic",/database/pd-dept/corbin-city-atlantic,http://force.nj.com/database/pd-dept/corbin-city-atlantic,,,No data found,,,
"Estell Manor, Atlantic",/database/pd-dept/estell-manor-atlantic,http://force.nj.com/database/pd-dept/estell-manor-atlantic,,,No data found,,,
"Folsom, Atlantic",/database/pd-dept/folsom-atlantic,http://force.nj.com/database/pd-dept/folsom-atlantic,,,No data found,,,
"Port Republic City, Atlantic",/database/pd-dept/port-republic-city-atlantic,http://force.nj.com/database/pd-dept/port-republic-city-atlantic,,,No data found,,,
"Weymouth Township, Atlantic",/database/pd-dept/weymouth-township-atlantic,http://force.nj.com/database/pd-dept/weymouth-township-atlantic,,,No data found,,,
"Wrightstown, Burlington",/database/pd-dept/wrightstown-burlington,http://force.nj.com/database/pd-dept/wrightstown-burlington,,,No data found,,,
"Woodland, Burlington",/database/pd-dept/woodland-burlington,http://force.nj.com/database/pd-dept/woodland-burlington,,,No data found,,,
"Bass River, Burlington",/database/pd-dept/bass-river-burlington,http://force.nj.com/database/pd-dept/bass-river-burlington,,,No data found,,,
"Hainesport, Burlington",/database/pd-dept/hainesport-burlington,http://force.nj.com/database/pd-dept/hainesport-burlington,,,No data found,,,
"Tabernacle, Burlington",/database/pd-dept/tabernacle-burlington,http://force.nj.com/database/pd-dept/tabernacle-burlington,,,No data found,,,
"Southampton, Burlington",/database/pd-dept/southampton-burlington,http://force.nj.com/database/pd-dept/southampton-burlington,,,No data found,,,
"Shamong, Burlington",/database/pd-dept/shamong-burlington,http://force.nj.com/database/pd-dept/shamong-burlington,,,No data found,,,
"Washington, Burlington",/database/pd-dept/washington-burlington,http://force.nj.com/database/pd-dept/washington-burlington,,,No data found,,,
"Dennis, Cape May",/database/pd-dept/dennis-cape-may,http://force.nj.com/database/pd-dept/dennis-cape-may,,,No data found,,,
"Upper, Cape May",/database/pd-dept/upper-cape-may,http://force.nj.com/database/pd-dept/upper-cape-may,,,No data found,,,
"Woodbine, Cape May",/database/pd-dept/woodbine-cape-may,http://force.nj.com/database/pd-dept/woodbine-cape-may,,,No data found,,,
"Commercial, Cumberland",/database/pd-dept/commercial-cumberland,http://force.nj.com/database/pd-dept/commercial-cumberland,,,No data found,,,
"Deerfield, Cumberland",/database/pd-dept/deerfield-cumberland,http://force.nj.com/database/pd-dept/deerfield-cumberland,,,No data found,,,
"Downe, Cumberland",/database/pd-dept/downe-cumberland,http://force.nj.com/database/pd-dept/downe-cumberland,,,No data found,,,
"Fairfield, Cumberland",/database/pd-dept/fairfield-cumberland,http://force.nj.com/database/pd-dept/fairfield-cumberland,,,No data found,,,
"Greenwich Township, Cumberland",/database/pd-dept/greenwich-township-cumberland,http://force.nj.com/database/pd-dept/greenwich-township-cumberland,,,No data found,,,
"Hopewell, Cumberland",/database/pd-dept/hopewell-cumberland,http://force.nj.com/database/pd-dept/hopewell-cumberland,,,No data found,,,
"Lawrence Township, Cumberland",/database/pd-dept/lawrence-township-cumberland,http://force.nj.com/database/pd-dept/lawrence-township-cumberland,,,No data found,,,
"Maurice River, Cumberland",/database/pd-dept/maurice-river-cumberland,http://force.nj.com/database/pd-dept/maurice-river-cumberland,,,No data found,,,
"Shiloh Borough, Cumberland",/database/pd-dept/shiloh-borough-cumberland,http://force.nj.com/database/pd-dept/shiloh-borough-cumberland,,,No data found,,,
"Stow Creek, Cumberland",/database/pd-dept/stow-creek-cumberland,http://force.nj.com/database/pd-dept/stow-creek-cumberland,,,No data found,,,
"Upper Deerfield, Cumberland",/database/pd-dept/upper-deerfield-cumberland,http://force.nj.com/database/pd-dept/upper-deerfield-cumberland,,,No data found,,,
"Alexandria, Hunterdon",/database/pd-dept/alexandria-hunterdon,http://force.nj.com/database/pd-dept/alexandria-hunterdon,,,No data found,,,
"Bethlehem, Hunterdon",/database/pd-dept/bethlehem-hunterdon,http://force.nj.com/database/pd-dept/bethlehem-hunterdon,,,No data found,,,
"Bloomsbury Borough, Hunterdon",/database/pd-dept/bloomsbury-borough-hunterdon,http://force.nj.com/database/pd-dept/bloomsbury-borough-hunterdon,,,No data found,,,
"East Amwell, Hunterdon",/database/pd-dept/east-amwell-hunterdon,http://force.nj.com/database/pd-dept/east-amwell-hunterdon,,,No data found,,,
"Glen Gardner Borough, Hunterdon",/database/pd-dept/glen-gardner-borough-hunterdon,http://force.nj.com/database/pd-dept/glen-gardner-borough-hunterdon,,,No data found,,,
"Hampton, Hunterdon",/database/pd-dept/hampton-hunterdon,http://force.nj.com/database/pd-dept/hampton-hunterdon,,,No data found,,,
"Kingwood, Hunterdon",/database/pd-dept/kingwood-hunterdon,http://force.nj.com/database/pd-dept/kingwood-hunterdon,,,No data found,,,
"Lebanon Borough, Hunterdon",/database/pd-dept/lebanon-borough-hunterdon,http://force.nj.com/database/pd-dept/lebanon-borough-hunterdon,,,No data found,,,
"Milford Borough, Hunterdon",/database/pd-dept/milford-borough-hunterdon,http://force.nj.com/database/pd-dept/milford-borough-hunterdon,,,No data found,,,
"Stockton Borough, Hunterdon",/database/pd-dept/stockton-borough-hunterdon,http://force.nj.com/database/pd-dept/stockton-borough-hunterdon,,,No data found,,,
"Union, Hunterdon",/database/pd-dept/union-hunterdon,http://force.nj.com/database/pd-dept/union-hunterdon,,,No data found,,,
"Farmingdale, Monmouth",/database/pd-dept/farmingdale-monmouth,http://force.nj.com/database/pd-dept/farmingdale-monmouth,,,No data found,,,
"Millstone, Monmouth",/database/pd-dept/millstone-monmouth,http://force.nj.com/database/pd-dept/millstone-monmouth,,,No data found,,,
"Roosevelt, Monmouth",/database/pd-dept/roosevelt-monmouth,http://force.nj.com/database/pd-dept/roosevelt-monmouth,,,No data found,,,
"Shrewsbury Township, Monmouth",/database/pd-dept/shrewsbury-township-monmouth,http://force.nj.com/database/pd-dept/shrewsbury-township-monmouth,,,No data found,,,
"Upper Freehold, Monmouth",/database/pd-dept/upper-freehold-monmouth,http://force.nj.com/database/pd-dept/upper-freehold-monmouth,,,No data found,,,
"Victory Gardens, Morris",/database/pd-dept/victory-gardens-morris,http://force.nj.com/database/pd-dept/victory-gardens-morris,,,No data found,,,
"Eagleswood, Ocean",/database/pd-dept/eagleswood-ocean,http://force.nj.com/database/pd-dept/eagleswood-ocean,,,No data found,,,
"Alloway, Salem",/database/pd-dept/alloway-salem,http://force.nj.com/database/pd-dept/alloway-salem,,,No data found,,,
"Mannington, Salem",/database/pd-dept/mannington-salem,http://force.nj.com/database/pd-dept/mannington-salem,,,No data found,,,
"Oldmans, Salem",/database/pd-dept/oldmans-salem,http://force.nj.com/database/pd-dept/oldmans-salem,,,No data found,,,
"Pilesgrove, Salem",/database/pd-dept/pilesgrove-salem,http://force.nj.com/database/pd-dept/pilesgrove-salem,,,No data found,,,
"Pittsgrove, Salem",/database/pd-dept/pittsgrove-salem,http://force.nj.com/database/pd-dept/pittsgrove-salem,,,No data found,,,
"Quinton, Salem",/database/pd-dept/quinton-salem,http://force.nj.com/database/pd-dept/quinton-salem,,,No data found,,,
"Upper Pittsgrove, Salem",/database/pd-dept/upper-pittsgrove-salem,http://force.nj.com/database/pd-dept/upper-pittsgrove-salem,,,No data found,,,
"Millstone, Somerset",/database/pd-dept/millstone-somerset,http://force.nj.com/database/pd-dept/millstone-somerset,,,No data found,,,
"Rocky Hill, Somerset",/database/pd-dept/rocky-hill-somerset,http://force.nj.com/database/pd-dept/rocky-hill-somerset,,,No data found,,,
"Andover Borough, Sussex",/database/pd-dept/andover-borough-sussex,http://force.nj.com/database/pd-dept/andover-borough-sussex,,,No data found,,,
"Branchville Borough, Sussex",/database/pd-dept/branchville-borough-sussex,http://force.nj.com/database/pd-dept/branchville-borough-sussex,,,No data found,,,
"Frankford, Sussex",/database/pd-dept/frankford-sussex,http://force.nj.com/database/pd-dept/frankford-sussex,,,No data found,,,
"Fredon, Sussex",/database/pd-dept/fredon-sussex,http://force.nj.com/database/pd-dept/fredon-sussex,,,No data found,,,
"Green, Sussex",/database/pd-dept/green-sussex,http://force.nj.com/database/pd-dept/green-sussex,,,No data found,,,
"Hampton, Sussex",/database/pd-dept/hampton-sussex,http://force.nj.com/database/pd-dept/hampton-sussex,,,No data found,,,
"Lafayette, Sussex",/database/pd-dept/lafayette-sussex,http://force.nj.com/database/pd-dept/lafayette-sussex,,,No data found,,,
"Montague, Sussex",/database/pd-dept/montague-sussex,http://force.nj.com/database/pd-dept/montague-sussex,,,No data found,,,
"Sandyston, Sussex",/database/pd-dept/sandyston-sussex,http://force.nj.com/database/pd-dept/sandyston-sussex,,,No data found,,,
"Stillwater, Sussex",/database/pd-dept/stillwater-sussex,http://force.nj.com/database/pd-dept/stillwater-sussex,,,No data found,,,
"Sussex Borough, Sussex",/database/pd-dept/sussex-borough-sussex,http://force.nj.com/database/pd-dept/sussex-borough-sussex,,,No data found,,,
"Walpack Township, Sussex",/database/pd-dept/walpack-township-sussex,http://force.nj.com/database/pd-dept/walpack-township-sussex,,,No data found,,,
"Wantage, Sussex",/database/pd-dept/wantage-sussex,http://force.nj.com/database/pd-dept/wantage-sussex,,,No data found,,,
"Allamuchy, Warren",/database/pd-dept/allamuchy-warren,http://force.nj.com/database/pd-dept/allamuchy-warren,,,No data found,,,
"Franklin, Warren",/database/pd-dept/franklin-warren,http://force.nj.com/database/pd-dept/franklin-warren,,,No data found,,,
"Frelinghuysen, Warren",/database/pd-dept/frelinghuysen-warren,http://force.nj.com/database/pd-dept/frelinghuysen-warren,,,No data found,,,
"Hardwick Township, Warren",/database/pd-dept/hardwick-township-warren,http://force.nj.com/database/pd-dept/hardwick-township-warren,,,No data found,,,
"Harmony, Warren",/database/pd-dept/harmony-warren,http://force.nj.com/database/pd-dept/harmony-warren,,,No data found,,,
"Hope, Warren",/database/pd-dept/hope-warren,http://force.nj.com/database/pd-dept/hope-warren,,,No data found,,,
"Knowlton Township, Warren",/database/pd-dept/knowlton-township-warren,http://force.nj.com/database/pd-dept/knowlton-township-warren,,,No data found,,,
"Liberty Township, Warren",/database/pd-dept/liberty-township-warren,http://force.nj.com/database/pd-dept/liberty-township-warren,,,No data found,,,
"Oxford, Warren",/database/pd-dept/oxford-warren,http://force.nj.com/database/pd-dept/oxford-warren,,,No data found,,,
"White, Warren",/database/pd-dept/white-warren,http://force.nj.com/database/pd-dept/white-warren,,,No data found,,,
New Jersey State Police (NJSP),/database/pd-dept/njsp,http://force.nj.com/database/pd-dept/njsp,,,No data found,,,
