dept_name,relative_url,full_url,likelihood_force_by_pop,likelihood_force_by_arrests,no_data_found,name,full_url_r,LA_numbers,NYC_numbers,Chicago_numbers
"Egg Harbor Township, Atlantic",/database/pd-dept/egg-harbor-township-atlantic,http://force.nj.com/database/pd-dept/egg-harbor-township-atlantic,390%,34%,,"Egg Harbor Township, Atlantic",http://force.nj.com/database/pd-dept/egg-harbor-township-atlantic,4,57,60
"Elizabeth, Union",/database/pd-dept/elizabeth-union,http://force.nj.com/database/pd-dept/elizabeth-union,76%,71%,,"Elizabeth, Union",http://force.nj.com/database/pd-dept/elizabeth-union,49,155,185
"Elk, Gloucester",/database/pd-dept/elk-gloucester,http://force.nj.com/database/pd-dept/elk-gloucester,,,,"Elk, Gloucester",http://force.nj.com/database/pd-dept/elk-gloucester,0,1,3
"Elmwood Park, Bergen",/database/pd-dept/elmwood-park-bergen,http://force.nj.com/database/pd-dept/elmwood-park-bergen,341%,111%,,"Elmwood Park, Bergen",http://force.nj.com/database/pd-dept/elmwood-park-bergen,0,21,21
"Emerson, Bergen",/database/pd-dept/emerson-bergen,http://force.nj.com/database/pd-dept/emerson-bergen,,,,"Emerson, Bergen",http://force.nj.com/database/pd-dept/emerson-bergen,0,0,0
"Englewood Cliffs, Bergen",/database/pd-dept/englewood-cliffs-bergen,http://force.nj.com/database/pd-dept/englewood-cliffs-bergen,,739%,,"Englewood Cliffs, Bergen",http://force.nj.com/database/pd-dept/englewood-cliffs-bergen,0,9,9
"Englewood, Bergen",/database/pd-dept/englewood-bergen,http://force.nj.com/database/pd-dept/englewood-bergen,187%,28%,,"Englewood, Bergen",http://force.nj.com/database/pd-dept/englewood-bergen,0,29,30
"Englishtown, Monmouth",/database/pd-dept/englishtown-monmouth,http://force.nj.com/database/pd-dept/englishtown-monmouth,430%,27%,,"Englishtown, Monmouth",http://force.nj.com/database/pd-dept/englishtown-monmouth,0,4,4
"Essex Fells, Essex",/database/pd-dept/essex-fells-essex,http://force.nj.com/database/pd-dept/essex-fells-essex,,,,"Essex Fells, Essex",http://force.nj.com/database/pd-dept/essex-fells-essex,0,1,1
"Evesham, Burlington",/database/pd-dept/evesham-burlington,http://force.nj.com/database/pd-dept/evesham-burlington,239%,24%,,"Evesham, Burlington",http://force.nj.com/database/pd-dept/evesham-burlington,14,56,56
"Ewing, Mercer",/database/pd-dept/ewing-mercer,http://force.nj.com/database/pd-dept/ewing-mercer,371%,12%,,"Ewing, Mercer",http://force.nj.com/database/pd-dept/ewing-mercer,4,45,48
"Fair Haven, Monmouth",/database/pd-dept/fair-haven-monmouth,http://force.nj.com/database/pd-dept/fair-haven-monmouth,,,,"Fair Haven, Monmouth",http://force.nj.com/database/pd-dept/fair-haven-monmouth,0,6,7
"Fairfield, Essex",/database/pd-dept/fairfield-essex,http://force.nj.com/database/pd-dept/fairfield-essex,,57%,,"Fairfield, Essex",http://force.nj.com/database/pd-dept/fairfield-essex,0,20,21
"Fairlawn, Bergen",/database/pd-dept/fairlawn-bergen,http://force.nj.com/database/pd-dept/fairlawn-bergen,498%,30%,,"Fairlawn, Bergen",http://force.nj.com/database/pd-dept/fairlawn-bergen,0,18,19
"Fairview, Bergen",/database/pd-dept/fairview-bergen,http://force.nj.com/database/pd-dept/fairview-bergen,72%,42%,,"Fairview, Bergen",http://force.nj.com/database/pd-dept/fairview-bergen,0,10,11
"Fanwood, Union",/database/pd-dept/fanwood-union,http://force.nj.com/database/pd-dept/fanwood-union,390%,13%,,"Fanwood, Union",http://force.nj.com/database/pd-dept/fanwood-union,0,5,5
"Far Hills, Somerset",/database/pd-dept/far-hills-somerset,http://force.nj.com/database/pd-dept/far-hills-somerset,,,,"Far Hills, Somerset",http://force.nj.com/database/pd-dept/far-hills-somerset,0,1,1
"Flemington, Hunterdon",/database/pd-dept/flemington-hunterdon,http://force.nj.com/database/pd-dept/flemington-hunterdon,223%,2%,,"Flemington, Hunterdon",http://force.nj.com/database/pd-dept/flemington-hunterdon,0,9,9
"Florence, Burlington",/database/pd-dept/florence-burlington,http://force.nj.com/database/pd-dept/florence-burlington,324%,17%,,"Florence, Burlington",http://force.nj.com/database/pd-dept/florence-burlington,0,8,9
"Florham Park, Morris",/database/pd-dept/florham-park-morris,http://force.nj.com/database/pd-dept/florham-park-morris,273%,43%,,"Florham Park, Morris",http://force.nj.com/database/pd-dept/florham-park-morris,0,8,8
"Fort Lee, Bergen",/database/pd-dept/fort-lee-bergen,http://force.nj.com/database/pd-dept/fort-lee-bergen,307%,5%,,"Fort Lee, Bergen",http://force.nj.com/database/pd-dept/fort-lee-bergen,2,42,43
"Franklin, Sussex",/database/pd-dept/franklin-sussex,http://force.nj.com/database/pd-dept/franklin-sussex,15%,28%,,"Franklin, Sussex",http://force.nj.com/database/pd-dept/franklin-sussex,0,9,9
"Franklin Lakes, Bergen",/database/pd-dept/franklin-lakes-bergen,http://force.nj.com/database/pd-dept/franklin-lakes-bergen,,123%,,"Franklin Lakes, Bergen",http://force.nj.com/database/pd-dept/franklin-lakes-bergen,0,6,6
