name,relative_url,population,arrests,Los Angeles,New York City,Chicago,full_url
"Hasbrouck Heights, Bergen",/database/pd-dept/hasbrouck-heights-bergen,556%,17%,0,9,10,http://force.nj.com/database/pd-dept/hasbrouck-heights-bergen
"Haworth, Bergen",/database/pd-dept/haworth-bergen,N/A,N/A,0,2,2,http://force.nj.com/database/pd-dept/haworth-bergen
"Hawthorne, Passaic",/database/pd-dept/hawthorne-passaic,211%,39%,2,11,11,http://force.nj.com/database/pd-dept/hawthorne-passaic
"Hazlet, Monmouth",/database/pd-dept/hazlet-monmouth,73%,47%,0,12,13,http://force.nj.com/database/pd-dept/hazlet-monmouth
"Helmetta, Middlesex",/database/pd-dept/helmetta-middlesex,N/A,26%,1,2,2,http://force.nj.com/database/pd-dept/helmetta-middlesex
"High Bridge, Hunterdon",/database/pd-dept/high-bridge-hunterdon,N/A,38%,0,4,4,http://force.nj.com/database/pd-dept/high-bridge-hunterdon
"Highland Park, Middlesex",/database/pd-dept/highland-park-middlesex,1033%,51%,0,9,10,http://force.nj.com/database/pd-dept/highland-park-middlesex
"Highlands, Monmouth",/database/pd-dept/highlands-monmouth,163%,52%,0,8,8,http://force.nj.com/database/pd-dept/highlands-monmouth
"Hightstown, Mercer",/database/pd-dept/hightstown-mercer,102%,30%,1,8,8,http://force.nj.com/database/pd-dept/hightstown-mercer
"Hillsborough, Somerset",/database/pd-dept/hillsborough-somerset,143%,10%,0,22,24,http://force.nj.com/database/pd-dept/hillsborough-somerset
"Hillsdale, Bergen",/database/pd-dept/hillsdale-bergen,N/A,304%,0,6,6,http://force.nj.com/database/pd-dept/hillsdale-bergen
"Hillside, Union",/database/pd-dept/hillside-union,75%,74%,3,29,29,http://force.nj.com/database/pd-dept/hillside-union
"Ho-Ho-Kus, Bergen",/database/pd-dept/ho-ho-kus-bergen,N/A,10%,0,3,3,http://force.nj.com/database/pd-dept/ho-ho-kus-bergen
"Hoboken, Hudson",/database/pd-dept/hoboken-hudson,1543%,23%,15,95,97,http://force.nj.com/database/pd-dept/hoboken-hudson
"Holmdel, Monmouth",/database/pd-dept/holmdel-monmouth,349%,64%,0,11,11,http://force.nj.com/database/pd-dept/holmdel-monmouth
"Hopatcong, Sussex",/database/pd-dept/hopatcong-sussex,375%,78%,3,18,18,http://force.nj.com/database/pd-dept/hopatcong-sussex
"Hopewell Township &amp; Hopewell Borough, Mercer",/database/pd-dept/hopewell-township-mercer,69%,57%,0,16,16,http://force.nj.com/database/pd-dept/hopewell-township-mercer
"Howell, Monmouth",/database/pd-dept/howell-monmouth,396%,9%,9,44,45,http://force.nj.com/database/pd-dept/howell-monmouth
"Independence, Warren",/database/pd-dept/independence-warren,N/A,N/A,0,3,3,http://force.nj.com/database/pd-dept/independence-warren
"Irvington, Essex",/database/pd-dept/irvington-essex,27%,46%,8,97,107,http://force.nj.com/database/pd-dept/irvington-essex
"Island Heights, Ocean",/database/pd-dept/island-heights-ocean,N/A,N/A,0,1,1,http://force.nj.com/database/pd-dept/island-heights-ocean
"Jackson, Ocean",/database/pd-dept/jackson-ocean,180%,13%,5,58,58,http://force.nj.com/database/pd-dept/jackson-ocean
"Jamesburg, Middlesex",/database/pd-dept/jamesburg-middlesex,15%,43%,0,7,8,http://force.nj.com/database/pd-dept/jamesburg-middlesex
"Jefferson, Morris",/database/pd-dept/jefferson-morris,270%,12%,0,19,21,http://force.nj.com/database/pd-dept/jefferson-morris
"Jersey City, Hudson",/database/pd-dept/jersey-city-hudson,489%,192%,13,249,257,http://force.nj.com/database/pd-dept/jersey-city-hudson
"Keansburg, Monmouth",/database/pd-dept/keansburg-monmouth,306%,90%,1,16,21,http://force.nj.com/database/pd-dept/keansburg-monmouth
"Kearny, Hudson",/database/pd-dept/kearny-hudson,151%,7%,0,27,40,http://force.nj.com/database/pd-dept/kearny-hudson
"Kenilworth, Union",/database/pd-dept/kenilworth-union,221%,22%,0,5,6,http://force.nj.com/database/pd-dept/kenilworth-union
"Keyport, Monmouth",/database/pd-dept/keyport-monmouth,N/A,67%,0,5,5,http://force.nj.com/database/pd-dept/keyport-monmouth
"Kinnelon, Morris",/database/pd-dept/kinnelon-morris,N/A,130%,0,4,4,http://force.nj.com/database/pd-dept/kinnelon-morris
"Lacey, Ocean",/database/pd-dept/lacey-ocean,1439%,105%,5,26,27,http://force.nj.com/database/pd-dept/lacey-ocean
"Lake Como, Monmouth",/database/pd-dept/lake-como-monmouth,340%,182%,3,8,9,http://force.nj.com/database/pd-dept/lake-como-monmouth
"Lakehurst, Ocean",/database/pd-dept/lakehurst-ocean,575%,211%,0,7,8,http://force.nj.com/database/pd-dept/lakehurst-ocean
"Lakewood, Ocean",/database/pd-dept/lakewood-ocean,2104%,138%,26,75,81,http://force.nj.com/database/pd-dept/lakewood-ocean
"Lambertville, Hunterdon",/database/pd-dept/lambertville-hunterdon,N/A,N/A,0,4,4,http://force.nj.com/database/pd-dept/lambertville-hunterdon
"Laurel Springs, Camden",/database/pd-dept/laurel-springs-camden,N/A,N/A,0,1,2,http://force.nj.com/database/pd-dept/laurel-springs-camden
"Lavallette, Ocean",/database/pd-dept/lavallette-ocean,N/A,94%,0,5,5,http://force.nj.com/database/pd-dept/lavallette-ocean
